listing_id,name,property_type,city,bedrooms,price_per_night,average_rating
1,Virtual optimal project,Apartment,PARIS,3,175,3.45
2,Implemented grid-enabled structure,Apartment,BERLIN,1,352,3.84
3,Configurable maximized Graphical User Interface,Apartment,Paris,2,169,4.01
4,Devolved demand-driven standardization,Apartment,Berlin,2,416,4.3
5,Configurable 24/7 customer loyalty,Studio,LONDON,4,351,
6,Virtual coherent open architecture,Apartment,london,4,224,3.56
7,Profound context-sensitive encryption,House,NEW YORK,1,97,3.76
8,Monitored zero tolerance synergy,Condo,New York,5,185,
9,Cross-group uniform implementation,Studio,Berlin,1,243,3.16
10,Operative demand-driven groupware,Condo,BERLIN,3,345,
11,Seamless impactful attitude,Apartment,paris,2,445,3.58
12,Decentralized intermediate capacity,Apartment,london,1,244,3.56
13,Organic context-sensitive middleware,Condo,London,3,231,3.42
14,Managed systematic frame,Condo,paris,5,375,3.34
15,Balanced fault-tolerant benchmark,House,london,4,244,3.54
16,Versatile national adapter,House,new york,1,167,4.64
17,Innovative bifurcated focus group,Condo,TOKYO,3,83,3.42
18,Virtual 3rdgeneration functionalities,Condo,London,4,252,4.77
19,Reduced context-sensitive system engine,Studio,LONDON,3,121,3.49
20,Enterprise-wide human-resource support,Condo,berlin,4,348,3.8
21,Realigned content-based customer loyalty,House,London,5,302,3.18
22,Inverse 5thgeneration synergy,Apartment,PARIS,2,371,3.32
23,Adaptive coherent policy,Studio,Berlin,1,247,3.76
24,Face-to-face grid-enabled definition,Studio,BERLIN,3,333,4.72
25,Ameliorated homogeneous portal,Apartment,Paris,5,434,3.53
26,Self-enabling 24hour software,Condo,PARIS,3,272,3.32
27,Persistent coherent workforce,Apartment,new york,5,440,3.36
28,Face-to-face well-modulated open architecture,Apartment,NEW YORK,5,361,3.4
29,Business-focused logistical productivity,Condo,london,5,448,4.84
30,Visionary high-level success,Apartment,BERLIN,3,300,3.04
31,Cross-platform even-keeled algorithm,Condo,new york,2,79,3.48
32,Secured modular approach,Apartment,paris,4,467,3.14
33,Visionary mission-critical archive,House,LONDON,4,331,3.33
34,Persistent coherent utilization,Studio,LONDON,5,436,4.46
35,User-friendly impactful productivity,House,New York,4,393,4.3
36,Self-enabling bandwidth-monitored Local Area Network,Studio,BERLIN,4,111,3.5
37,Devolved logistical productivity,Apartment,New York,1,351,4.11
38,Compatible fault-tolerant parallelism,House,PARIS,1,412,4.26
39,Stand-alone multi-tasking pricing structure,House,Paris,1,490,3.66
40,Optional 4thgeneration encryption,House,new york,4,159,
41,Assimilated 6thgeneration Local Area Network,Studio,LONDON,4,463,3.81
42,Multi-lateral needs-based moderator,Apartment,paris,4,231,3.85
43,Polarized web-enabled leverage,Studio,PARIS,1,81,3.81
44,Customer-focused even-keeled hardware,Condo,Paris,2,148,3.38
45,Open-architected transitional complexity,Studio,LONDON,4,143,3.56
46,Cross-group leadingedge adapter,House,Paris,4,463,
47,Down-sized user-facing complexity,Apartment,Paris,5,478,3.03
48,Configurable upward-trending initiative,Apartment,LONDON,2,258,
49,Switchable object-oriented hub,House,tokyo,1,134,3.76
50,Decentralized secondary model,Studio,NEW YORK,4,196,3.85
51,Robust client-driven standardization,Studio,london,2,201,3.44
52,Multi-tiered incremental task-force,Apartment,Berlin,5,81,4.5
53,Vision-oriented mission-critical data-warehouse,Apartment,PARIS,5,294,4.01
54,Stand-alone reciprocal migration,House,PARIS,5,91,4.7
55,Configurable client-server moratorium,Apartment,berlin,1,395,4.72
56,Triple-buffered value-added collaboration,Studio,PARIS,5,176,4.16
57,Triple-buffered zero administration utilization,Apartment,Berlin,1,264,4.31
58,Ergonomic systemic framework,Condo,NEW YORK,2,392,
59,Visionary local Local Area Network,House,New York,4,117,4.34
60,Secured systemic service-desk,Condo,Tokyo,3,434,
61,Re-contextualized tertiary alliance,Apartment,tokyo,5,338,4.99
62,Operative motivating artificial intelligence,Apartment,berlin,2,309,3.53
63,Grass-roots discrete leverage,Condo,Paris,2,239,3.57
